nucleo,line_id,origen_nombre,destino_nombre,llegada_teorica_utc,consultado_en_utc,horizonte_min,regime,degradado,retraso_predicho_s,retraso_real_s,error_retraso_s,llegada_estimada_utc,llegada_real_utc,error_llegada_s,via,estado
20640C8b,C8b,Cercedilla,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:36:00Z,2026-09-15T18:17:48Z,78.2,B,,123.5,300.0,-176.5,2026-09-15T19:38:03Z,2026-09-15T19:41:00Z,-177.0,parada,ok
20640C8b,C8b,Cercedilla,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:36:00Z,2026-09-15T18:22:48Z,73.2,B,,133.3,300.0,-166.7,2026-09-15T19:38:13Z,2026-09-15T19:41:00Z,-167.0,parada,ok
20640C8b,C8b,Cercedilla,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:36:00Z,2026-09-15T18:27:48Z,68.2,B,,103.3,300.0,-196.7,2026-09-15T19:37:43Z,2026-09-15T19:41:00Z,-197.0,parada,ok
20316C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:33:00Z,2026-09-15T18:07:47Z,85.2,B,,220.9,780.0,-559.1,2026-09-15T19:36:40Z,2026-09-15T19:46:00Z,-560.0,parada,ok
20316C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:33:00Z,2026-09-15T18:12:48Z,80.2,B,,241.1,780.0,-538.9,2026-09-15T19:37:01Z,2026-09-15T19:46:00Z,-539.0,parada,ok
20316C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:33:00Z,2026-09-15T18:17:48Z,75.2,B,,249.5,780.0,-530.5,2026-09-15T19:37:09Z,2026-09-15T19:46:00Z,-531.0,parada,ok
20316C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:33:00Z,2026-09-15T18:22:48Z,70.2,B,,239.6,780.0,-540.4,2026-09-15T19:36:59Z,2026-09-15T19:46:00Z,-541.0,parada,ok
20316C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:33:00Z,2026-09-15T18:27:48Z,65.2,B,,263.8,780.0,-516.2,2026-09-15T19:37:23Z,2026-09-15T19:46:00Z,-517.0,parada,ok
20316C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:33:00Z,2026-09-15T18:32:49Z,60.2,B,,250.0,780.0,-530.0,2026-09-15T19:37:10Z,2026-09-15T19:46:00Z,-530.0,parada,ok
20097C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:34:00Z,2026-09-15T18:07:47Z,86.2,B,,201.9,60.0,141.9,2026-09-15T19:37:21Z,2026-09-15T19:35:00Z,141.0,parada,ok
20097C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:34:00Z,2026-09-15T18:12:48Z,81.2,B,,207.7,60.0,147.7,2026-09-15T19:37:27Z,2026-09-15T19:35:00Z,147.0,parada,ok
20097C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:34:00Z,2026-09-15T18:17:48Z,76.2,B,,159.8,60.0,99.8,2026-09-15T19:36:39Z,2026-09-15T19:35:00Z,99.0,parada,ok
20097C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:34:00Z,2026-09-15T18:22:48Z,71.2,B,,199.9,60.0,139.9,2026-09-15T19:37:19Z,2026-09-15T19:35:00Z,139.0,parada,ok
20097C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:34:00Z,2026-09-15T18:27:48Z,66.2,B,,181.4,60.0,121.4,2026-09-15T19:37:01Z,2026-09-15T19:35:00Z,121.0,parada,ok
20097C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:34:00Z,2026-09-15T18:32:49Z,61.2,B,,156.3,60.0,96.3,2026-09-15T19:36:36Z,2026-09-15T19:35:00Z,96.0,parada,ok
21162C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T19:25:00Z,2026-09-15T18:12:48Z,72.2,B,,186.8,540.0,-353.2,2026-09-15T19:28:06Z,2026-09-15T19:34:00Z,-354.0,parada,ok
21162C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T19:25:00Z,2026-09-15T18:17:48Z,67.2,B,,225.7,540.0,-314.3,2026-09-15T19:28:45Z,2026-09-15T19:34:00Z,-315.0,parada,ok
21162C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T19:25:00Z,2026-09-15T18:22:48Z,62.2,B,,199.5,540.0,-340.5,2026-09-15T19:28:19Z,2026-09-15T19:34:00Z,-341.0,parada,ok
21162C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T19:25:00Z,2026-09-15T18:27:48Z,57.2,B,,204.8,540.0,-335.2,2026-09-15T19:28:24Z,2026-09-15T19:34:00Z,-336.0,parada,ok
21162C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T19:25:00Z,2026-09-15T18:32:49Z,52.2,B,,254.0,540.0,-286.0,2026-09-15T19:29:14Z,2026-09-15T19:34:00Z,-286.0,parada,ok
21162C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T19:25:00Z,2026-09-15T18:37:49Z,47.2,B,,216.0,540.0,-324.0,2026-09-15T19:28:36Z,2026-09-15T19:34:00Z,-324.0,parada,ok
21862C7,C7,Madrid-Príncipe Pío,Alcalá de Henares,2026-09-15T20:20:00Z,2026-09-15T18:17:48Z,122.2,B,,186.5,300.0,-113.5,2026-09-15T20:23:06Z,2026-09-15T20:25:00Z,-114.0,parada,ok
21862C7,C7,Madrid-Príncipe Pío,Alcalá de Henares,2026-09-15T20:20:00Z,2026-09-15T18:22:48Z,117.2,B,,186.5,300.0,-113.5,2026-09-15T20:23:06Z,2026-09-15T20:25:00Z,-114.0,parada,ok
21862C7,C7,Madrid-Príncipe Pío,Alcalá de Henares,2026-09-15T20:20:00Z,2026-09-15T18:27:48Z,112.2,B,,193.4,300.0,-106.6,2026-09-15T20:23:13Z,2026-09-15T20:25:00Z,-107.0,parada,ok
21862C7,C7,Madrid-Príncipe Pío,Alcalá de Henares,2026-09-15T20:20:00Z,2026-09-15T18:32:49Z,107.2,B,,181.4,300.0,-118.6,2026-09-15T20:23:01Z,2026-09-15T20:25:00Z,-119.0,parada,ok
21862C7,C7,Madrid-Príncipe Pío,Alcalá de Henares,2026-09-15T20:20:00Z,2026-09-15T18:37:49Z,102.2,B,,186.9,300.0,-113.1,2026-09-15T20:23:06Z,2026-09-15T20:25:00Z,-114.0,parada,ok
21362C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T19:39:00Z,2026-09-15T18:22:48Z,76.2,B,,253.7,300.0,-46.3,2026-09-15T19:43:13Z,2026-09-15T19:44:00Z,-47.0,parada,ok
21362C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T19:39:00Z,2026-09-15T18:27:48Z,71.2,B,,247.9,300.0,-52.1,2026-09-15T19:43:07Z,2026-09-15T19:44:00Z,-53.0,parada,ok
21362C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T19:39:00Z,2026-09-15T18:32:49Z,66.2,B,,245.2,300.0,-54.8,2026-09-15T19:43:05Z,2026-09-15T19:44:00Z,-55.0,parada,ok
21362C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T19:39:00Z,2026-09-15T18:37:49Z,61.2,B,,240.0,300.0,-60.0,2026-09-15T19:43:00Z,2026-09-15T19:44:00Z,-60.0,parada,ok
20099C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:49:00Z,2026-09-15T18:22:48Z,86.2,B,,198.5,300.0,-101.5,2026-09-15T19:52:18Z,2026-09-15T19:54:00Z,-102.0,parada,ok
20099C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:49:00Z,2026-09-15T18:27:48Z,81.2,B,,203.7,300.0,-96.3,2026-09-15T19:52:23Z,2026-09-15T19:54:00Z,-97.0,parada,ok
20099C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:49:00Z,2026-09-15T18:32:49Z,76.2,B,,132.0,300.0,-168.0,2026-09-15T19:51:12Z,2026-09-15T19:54:00Z,-168.0,parada,ok
20099C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T19:49:00Z,2026-09-15T18:37:49Z,71.2,B,,161.8,300.0,-138.2,2026-09-15T19:51:41Z,2026-09-15T19:54:00Z,-139.0,parada,ok
20318C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:51:00Z,2026-09-15T18:22:48Z,88.2,B,,262.1,420.0,-157.9,2026-09-15T19:55:22Z,2026-09-15T19:58:00Z,-158.0,parada,ok
20318C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:51:00Z,2026-09-15T18:27:48Z,83.2,B,,271.3,420.0,-148.7,2026-09-15T19:55:31Z,2026-09-15T19:58:00Z,-149.0,parada,ok
20318C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:51:00Z,2026-09-15T18:32:49Z,78.2,B,,257.1,420.0,-162.9,2026-09-15T19:55:17Z,2026-09-15T19:58:00Z,-163.0,parada,ok
20318C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T19:51:00Z,2026-09-15T18:37:49Z,73.2,B,,276.4,420.0,-143.6,2026-09-15T19:55:36Z,2026-09-15T19:58:00Z,-144.0,parada,ok
21260C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T19:43:00Z,2026-09-15T18:27:48Z,75.2,B,,201.7,660.0,-458.3,2026-09-15T19:46:21Z,2026-09-15T19:54:00Z,-459.0,parada,ok
21260C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T19:43:00Z,2026-09-15T18:32:49Z,70.2,B,,203.3,660.0,-456.7,2026-09-15T19:46:23Z,2026-09-15T19:54:00Z,-457.0,parada,ok
21260C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T19:43:00Z,2026-09-15T18:37:49Z,65.2,B,,183.1,660.0,-476.9,2026-09-15T19:46:03Z,2026-09-15T19:54:00Z,-477.0,parada,ok
